"","HotelURL","HotelID","HotelNames.x","24-hour front desk","Access control system","Accessible room","Airport drop-off service","Airport pick-up service","Airport shuttle service","ATM","Audio Visual Equipment","Babysitting Services","Bar","Barbecue","Basketball court","Beach","Beach towel","Beach volleyball","Beach/swimming pool umbrella","Beauty and makeup","Bicycle Rentals","Billiards room","Body care","Body Contouring","Books or audio/video products for children","Bowling alley","Business center","Caf�","Car rental","Carbon monoxide alarm","Casino","CCTV in public areas","Central ventilation system","Children's bathrobe","Children's desktop game/jigsaw puzzle","Children's Meals Available","Children's Playground","Children's pool","Children's slippers","Children's Toys","Clothes dryer","Clothes steamer","Concierge service","Currency exchange","Dry cleaning","Electronic Identification Registration","Elevator","Exclusive beach area","Executive floor","Executive lounge","Express check-in and check-out","Fax/copying service","Fire alarm","Fire extinguisher","First-aid packet","First aid services","Fitness room","Fitness session","Foot bath","Front desk safe","Game room","Garden","Gift shop","Golf course","Guest Laundry","Hair coloring","Hair removal service","Haircut","Hairdressing","Hairdressing and beauty center","Handrails in hallways","Handrails in stairways","Heated pool","Hiking","Host Welcome Service","Hot spring","Humidifier","Indoor swimming pool","Infinity pool","Ironing service","Kids' club","Kids' toothbrush","Kiosk/convenience store","KTV","Laundry detergent","Laundry service (off-site)","Laundry service (on-site)","Library","Lobby bar","Lockers Available","Luggage storage","Manicure","Massage room","Meeting room","Mini golf","Mountain climbing","Multi-function room","Multilingual staff","Nightclub","No 24-hour front desk","No smoking in public areas","Non-smoking floor","Non-smoking in all rooms","Outdoor furniture","Outdoor swimming pool","Personal Trainer","Phototherapy","Picnic area","Pool bar","Pool toy","Porter/Bellhop","Postal service","Public audio system","Public Transport Tickets Available","Restaurant","Robot service","Rooftop swimming pool","Room service","Sauna","Secretarial Services","Security alarm","Security personnel","Self-service check-in machine","Service animals allowed","Shared kitchen","Shopping mall","Shuttle bus service","Smoke detector","Smoking area","Spa","Stair-free property entrance","Station drop-off service","Station pick-up service","Stroller","Sunbathing area","Swimming Pool","Swimming pool with salt water","Swimming Pool with View","Table soccer","Table tennis room","Taxi booking","Tea room","Tennis court","Tour/Ticket Service","Tourist map","Valet parking","Vending machine","VIP check-in service","Visual alarms in hallways","Wake-up call","Water park","Water purifier","Water slide","Water sport equipment","Wedding service","Wheelchairs available on-site","Wi-Fi in public areas","Yoga session","HotelNames.y"
"11","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=1706908","1706908","Singapore Marriott Tang Plaza Hotel (Staycation Approved)",1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,"Singapore Marriott Tang Plaza Hotel (Staycation Approved)"
"12","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=8497129","8497129","Yotel Singapore Orchard Road (Staycation Approved)",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,"Yotel Singapore Orchard Road (Staycation Approved)"
"13","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=996342","996342","York Hotel, a Member of The Goodwood Group of Hotels (Staycation Approved)",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"York Hotel, a Member of The Goodwood Group of Hotels (Staycation Approved)"
"14","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=909897","909897","Orchard Hotel Singapore (Staycation Approved)",1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,"Orchard Hotel Singapore (Staycation Approved)"
"15","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=6401620","6401620","Ascott Orchard Singapore (Staycation Approved)",1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Ascott Orchard Singapore (Staycation Approved)"
"16","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=84720555","84720555","Hilton Singapore Orchard (SG Clean)",1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"Hilton Singapore Orchard (SG Clean)"
"17","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=10930412","10930412","Mercure Singapore on Stevens",1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,"Mercure Singapore on Stevens"
"18","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=47626297","47626297","Ji Hotel Orchard Singapore (Staycation Approved)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Ji Hotel Orchard Singapore (Staycation Approved)"
"19","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=996054","996054","Four Points by Sheraton Singapore, Riverview",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Four Points by Sheraton Singapore, Riverview"
"20","https://sg.trip.com/hotels/detail/?cityId=73&hotelId=8695392","8695392","Hotel Nuve Urbane Singapore (Staycation Approved)",1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"Hotel Nuve Urbane Singapore (Staycation Approved)"
